Rk,School,SRS,Games,Wins,Losses,PCT,SOS,TeamPTS,OppPTS
132,Ohio,2.09,33,24,9,0.727,-4.07,2440,2223
133,UC Irvine,2.07,25,15,10,0.6,-0.46,1656,1507
134,Georgetown,2.01,31,6,25,0.194,8.33,2192,2388
135,Georgia Tech,1.92,32,12,20,0.375,5.76,2195,2264
136,UC Santa Barbara,1.81,28,17,11,0.607,-3.96,2066,1841
137,Tulsa,1.79,31,11,20,0.355,4.31,2089,2167
138,New Mexico,1.76,32,13,19,0.406,4.83,2376,2411
139,Hofstra,1.61,32,21,11,0.656,-0.79,2494,2333
140,Morehead State,1.19,34,23,11,0.676,-3.04,2379,2158
141,Saint Joseph's,1.11,30,11,19,0.367,2.58,2028,2072
142,South Alabama,1.03,30,19,11,0.633,-3.05,2141,1895
143,Colgate NCAA,0.84,34,23,11,0.676,-6.95,2586,2282
144,Saint Peter's NCAA,0.84,30,19,11,0.633,-3.09,2006,1853
145,Akron NCAA,0.83,33,24,9,0.727,-4.3,2349,2073
146,East Carolina,0.58,30,15,15,0.5,2.75,2063,2128
147,Montana State NCAA,0.53,34,27,7,0.794,-6,2617,2328
148,Sam Houston State,0.47,33,19,14,0.576,-0.76,2272,2082
149,Cal State Fullerton NCAA,0.38,31,21,10,0.677,-2.52,2178,2051
150,Kent State,0.37,33,23,10,0.697,-2.79,2344,2134
151,Texas State,0.25,28,21,7,0.75,-3.04,1980,1767
152,UTEP,0.24,32,19,13,0.594,-0.12,2203,2129
153,College of Charleston,0.21,32,17,15,0.531,-1.54,2502,2446
154,Long Beach State,0.19,32,20,12,0.625,0.52,2365,2316
155,Delaware NCAA,0.13,34,22,12,0.647,-2.69,2508,2376
156,Yale NCAA,0.11,30,19,11,0.633,-1.92,2170,2065
157,Pittsburgh,0.09,32,11,21,0.344,6.62,1969,2178
158,Coastal Carolina,0.06,29,16,13,0.552,-2.31,2111,1893
159,Longwood NCAA,0.05,32,26,6,0.813,-7.06,2443,2082
160,Jacksonville State NCAA,0.03,31,21,10,0.677,-4.35,2292,2071
161,Hawaii,-0.05,28,17,11,0.607,-2.58,1928,1796
162,Oral Roberts,-0.31,31,19,12,0.613,-3.95,2582,2306
163,Georgia,-0.36,32,6,26,0.188,8.33,2234,2512
164,Illinois State,-0.38,33,13,20,0.394,1.13,2447,2466
165,UC Riverside,-0.47,28,16,12,0.571,-1.44,1865,1784
166,Drexel,-0.48,29,15,14,0.517,-2.08,2112,2038
167,Massachusetts,-0.54,32,15,17,0.469,1.83,2422,2498
168,Monmouth,-0.78,34,21,13,0.618,-2.07,2333,2289
169,Fordham,-0.82,32,16,16,0.5,-0.13,2115,2137
170,Wagner,-0.92,27,21,6,0.778,-8.8,2010,1747
171,Appalachian State,-0.95,33,19,14,0.576,-1.15,2207,2066
172,Oregon State,-0.99,31,3,28,0.097,8.85,2117,2422
173,North Dakota State,-1.01,33,23,10,0.697,-4.08,2469,2267
174,Georgia State NCAA,-1.12,28,18,10,0.643,-2.2,1977,1813
175,Valparaiso,-1.19,32,14,18,0.438,1.24,2264,2257
176,Old Dominion,-1.23,32,13,19,0.406,0,2127,2145
177,Portland,-1.36,32,18,14,0.563,-0.39,2364,2304
178,Oakland,-1.37,32,20,12,0.625,-3.87,2380,2194
179,Weber State,-1.41,33,21,12,0.636,-4.89,2513,2319
180,Charlotte,-1.49,31,17,14,0.548,-0.3,2171,2208
181,Loyola Marymount,-1.56,29,11,18,0.379,3.62,2010,2148
182,Winthrop,-1.64,32,23,9,0.719,-3.71,2407,2246
183,VMI,-1.88,31,16,15,0.516,-1.98,2451,2282
184,Southern Utah,-1.92,31,20,11,0.645,-5.09,2430,2257
185,Jacksonville,-1.94,31,21,10,0.677,-5.09,2081,1839
186,Cleveland State,-1.97,30,20,10,0.667,-6.11,2268,2096
