title,artist,genres,popularity_artist,song_popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,is_swift
Freakin' Out On the Interstate,Briston Maroney,"['indie pop', 'modern rock', 'nashville indie']",66,61,0.452,0.79,4,-5.01,1,0.391,0,0.303,0.362,143.861,251906,0
Should've Said No,Taylor Swift,['pop'],98,61,0.476,0.777,4,-3.771,0,0.0103,0,0.196,0.472,167.964,242200,1
Sparks Fly,Taylor Swift,['pop'],98,61,0.605,0.787,5,-3.002,1,0.0396,1.42E-06,0.163,0.374,114.987,260933,1
Style,Taylor Swift,['pop'],98,61,0.588,0.791,7,-5.595,1,0.00245,0.00258,0.118,0.487,94.933,231000,1
Tim McGraw,Taylor Swift,['pop'],98,61,0.58,0.491,0,-6.462,1,0.575,0,0.121,0.425,76.009,232107,1
Wonderland,Taylor Swift,['pop'],98,61,0.422,0.692,3,-5.447,1,0.0493,2.57E-05,0.177,0.197,184.014,245560,1
You Are In Love,Taylor Swift,['pop'],98,60,0.474,0.48,2,-8.894,1,0.707,0.000108,0.0903,0.319,170.109,267107,1
Dear John,Taylor Swift,['pop'],98,59,0.589,0.47,4,-5.32,1,0.166,1.45E-06,0.112,0.102,119.386,403920,1
Renegade (feat. Taylor Swift),Big Red Machine,"['eau claire indie', 'folktronica', 'indie folk', 'indie pop']",61,59,0.532,0.708,0,-8.121,1,0.435,0.0236,0.107,0.586,167.977,254467,0
Shake Me Down,Cage The Elephant,"['modern rock', 'punk blues', 'rock']",79,59,0.457,0.613,9,-5.756,1,0.00463,0.000406,0.0711,0.132,105.111,211373,0
Out Of The Woods,Taylor Swift,['pop'],98,58,0.553,0.841,7,-6.937,1,0.000743,1.19E-05,0.341,0.338,92.008,235800,1
Salt And The Sea,The Lumineers,"['folk-pop', 'pop', 'pop rock', 'stomp and holler']",81,58,0.63,0.31,9,-9.253,1,0.704,0.0011,0.128,0.0712,93.067,270893,0
Last Kiss,Taylor Swift,['pop'],98,57,0.371,0.341,10,-9.475,1,0.57,3.09E-05,0.101,0.196,89.038,367133,1
long story short,Taylor Swift,['pop'],98,56,0.546,0.732,0,-7.715,1,0.674,0.184,0.0972,0.571,157.893,215920,1
Only Friend,Wallows,"['indie pop', 'modern rock', 'pop']",77,56,0.295,0.835,4,-5.184,1,1.51E-05,0.913,0.342,0.0835,153.914,181600,0
Cruel World,Phantogram,"['chillwave', 'electropop', 'indietronica', 'metropopolis', 'modern rock']",72,55,0.559,0.452,0,-6.549,0,0.00179,0.00135,0.376,0.197,80.038,177693,0
John Hughes Movie,Maisie Peters,"['alt z', 'indie pop', 'pop', 'uk pop']",68,55,0.445,0.83,0,-3.03,1,0.0303,0.000117,0.261,0.135,94.222,216493,0
Back To December,Taylor Swift,['pop'],98,54,0.529,0.67,2,-4.663,1,0.117,0,0.334,0.286,141.893,293027,1
Tokyo Smoke,Cage The Elephant,"['modern rock', 'punk blues', 'rock']",79,54,0.453,0.953,6,-3.058,0,1.67E-05,0.0825,0.106,0.446,142.96,205693,0
I'm Only Me When I'm With You,Taylor Swift,['pop'],98,53,0.563,0.934,8,-3.629,1,0.00452,0.000807,0.103,0.518,143.964,213053,1
Happiest Year,Jaymes Young,"['modern rock', 'pop']",80,52,0.501,0.167,1,-14.061,1,0.885,0,0.111,0.356,112.275,228443,0
Rocket Man,Taron Egerton,['hollywood'],70,52,0.408,0.466,10,-6.737,1,0.131,4.45E-06,0.1,0.119,140.104,270533,0
Ground,Wallows,"['indie pop', 'modern rock', 'pop']",77,51,0.417,0.669,1,-5.544,1,0.00329,0.000169,0.0403,0.539,76.988,214387,0
Oblivion,Bastille,"['metropopolis', 'modern rock', 'pop', 'pop rock']",80,51,0.422,0.321,5,-8.952,1,0.76,2.33E-06,0.429,0.28,78.533,196347,0
willow - 90's trend remix,Taylor Swift,['pop'],98,51,0.6,0.603,7,-8.696,1,0.313,0,0.0872,0.379,168.085,225107,1
Love's The Only Way,Cage The Elephant,"['modern rock', 'punk blues', 'rock']",79,50,0.245,0.331,0,-8.884,1,0.639,0,0.105,0.101,72.741,240547,0
How to Be a Heartbreaker,MARINA,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'uk alternative pop']",79,49,0.69,0.897,11,-4.696,0,0.0142,0,0.108,0.849,140.05,221493,0
Less Than I Do,The Band CAMINO,"['hopebeat', 'indie poptimism', 'modern rock', 'pop', 'pop rock']",68,48,0.529,0.579,9,-6.94,1,0.0198,3.18E-06,0.103,0.46,76.991,211694,0
Worlds Apart,Wallows,"['indie pop', 'modern rock', 'pop']",77,48,0.314,0.755,0,-6.613,1,0.0154,0.0387,0.492,0.427,169.946,254453,0
We Lied To Each Other,Olivia O'Brien,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",74,46,0.747,0.408,2,-8.141,1,0.29,0,0.0721,0.666,145.728,215400,0
What I'm Becoming,Cage The Elephant,"['modern rock', 'punk blues', 'rock']",79,46,0.569,0.472,0,-5.175,1,0.00366,0.00275,0.0891,0.219,134.979,230040,0
It's Just Forever (feat. Alison Mosshart),Cage The Elephant,"['modern rock', 'punk blues', 'rock']",79,45,0.431,0.889,9,-1.763,0,0.00633,0.0052,0.315,0.755,136.362,210333,0
Robbers,The 1975,"['modern alternative rock', 'modern rock', 'pop', 'rock']",78,43,0.62,0.694,4,-6.829,1,0.000325,1.89E-05,0.331,0.35,99.799,254493,0
Got It All (This Can't Be Living Now),Portugal. The Man,"['indie rock', 'modern alternative rock', 'modern rock', 'rock']",70,41,0.427,0.919,9,-4.121,1,0.195,0.00368,0.0886,0.385,151.084,225773,0
"Church (feat. nothing, nowhere.) - nothing,nowhere. remix",Fall Out Boy,"['emo', 'modern rock', 'rock']",82,36,0.537,0.696,6,-5.246,0,0.00158,3.99E-05,0.24,0.339,84.018,232187,0
Notion,The Rare Occasions,['la indie'],74,34,0.307,0.884,9,-3.825,1,0.0678,0.00103,0.0849,0.314,159.579,195121,0
Head Is a Flame (Cool with It),Portugal. The Man,"['indie rock', 'modern alternative rock', 'modern rock', 'rock']",70,33,0.574,0.89,4,-5.173,0,0.0158,2.87E-05,0.0868,0.576,133.055,212760,0
Lose You To Love Me,Selena Gomez,"['dance pop', 'pop', 'post-teen pop']",86,24,0.505,0.34,4,-9.005,1,0.576,0,0.21,0.0916,101.993,206459,0
