title,artist,genres,popularity_artist,song_popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,playlist
Blank Space,Taylor Swift,['pop'],98,74,0.753,0.678,5,-5.421,1,0.085,1.64E-06,0.13,0.583,96.006,231827,0
Out of My League,Fitz and The Tantrums,"['indie poptimism', 'la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock']",71,74,0.545,0.968,9,-3.553,0,0.0387,0.00325,0.331,0.527,169.965,209386,0
Summertime Sadness,Lana Del Rey,"['art pop', 'pop']",89,74,0.565,0.654,1,-6.826,0,0.0542,1.80E-06,0.122,0.235,111.968,265427,0
To Be So Lonely,Harry Styles,['pop'],93,74,0.758,0.436,0,-7.269,1,0.618,1.61E-05,0.335,0.605,104.959,192080,0
Afterglow,Taylor Swift,['pop'],98,73,0.756,0.449,9,-8.746,1,0.13,0,0.114,0.399,111.011,223293,0
Afterglow,Taylor Swift,['pop'],98,73,0.756,0.449,9,-8.746,1,0.13,0,0.114,0.399,111.011,223293,0
Follow You,Imagine Dragons,"['modern rock', 'rock']",93,73,0.542,0.732,9,-5.956,1,0.00209,7.92E-05,0.496,0.489,124.912,175644,0
Happiness is a butterfly,Lana Del Rey,"['art pop', 'pop']",89,73,0.467,0.119,2,-10.99,1,0.969,1.40E-06,0.0973,0.156,70.499,272485,0
Ain't No Rest for the Wicked,Cage The Elephant,"['modern rock', 'punk blues', 'rock']",79,72,0.636,0.849,0,-7.075,1,0.0438,0,0.372,0.917,156.036,175493,0
Corduroy Dreams,Rex Orange County,"['bedroom pop', 'pop']",83,72,0.608,0.305,4,-14.037,1,0.653,0,0.103,0.222,113.818,206975,0
Enchanted,Taylor Swift,['pop'],98,72,0.455,0.623,8,-3.878,1,0.0739,0.000424,0.146,0.208,163.893,352187,0
Enchanted,Taylor Swift,['pop'],98,72,0.455,0.623,8,-3.878,1,0.0739,0.000424,0.146,0.208,163.893,352187,0
Love Story (Taylor’s Version),Taylor Swift,['pop'],98,72,0.626,0.79,2,-4.302,1,0.135,3.97E-06,0.0989,0.416,119.082,235767,0
Plastic Hearts,Miley Cyrus,"['dance pop', 'pop', 'post-teen pop']",87,72,0.551,0.756,2,-4.948,1,0.0511,0,0.0765,0.618,175.984,205733,0
Remember When,Wallows,"['indie pop', 'modern rock', 'pop']",77,72,0.504,0.708,11,-5.896,0,0.00112,0.000424,0.788,0.51,82.009,155147,0
